Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3961422201",,manufacturer,"1",,garmin_product,"2431",,type,"1",,,,,,,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"790",,,,,,,,,,,,,,,,,,,,
Definition,2,software,part_number,12,,version,1,,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2431-00",,version,"7.9",,,,,,,,,,,,,,,,,
Data,2,software,version,"7.5",,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"7.5",,,,,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-03",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-08",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-04",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-05",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-09",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-00",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-06",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-07",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-01",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-02",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-13",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-11",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-12",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-10",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-17",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-14",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-15",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-16",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D6035-16",,version,"0.0",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D1074-00",,version,"22.0",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B1619-00",,version,"3.3",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2159-00",,version,"2.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2423-00",,version,"2.5",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2369-00",,version,"2.7",,,,,,,,,,,,,,,,,
Definition,3,capabilities,workouts_supported,1,,connectivity_supported,1,,unknown,1,,sports,1,,unknown,1,,,,,,,,
Data,3,capabilities,workouts_supported,"1923",,connectivity_supported,"555718378",,unknown,"7",,sports,"7",,unknown,"1",,,,,,,,
Definition,4,file_capabilities,directory,16,,max_count,1,,type,1,,flags,1,,,,,,,,,,,
Data,4,file_capabilities,max_count,"1",,type,"1",,flags,"2",,,,,,,,,,,,,,
Data,4,file_capabilities,directory,"Settings",,max_count,"1",,type,"2",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Sports",,max_count,"4",,type,"3",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Activity",,max_count,"75",,type,"4",,flags,"10",,,,,,,,,,,
Data,4,file_capabilities,directory,"Workouts",,max_count,"25",,type,"5",,flags,"14",,,,,,,,,,,
Data,4,file_capabilities,directory,"Schedule",,max_count,"1",,type,"7",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Location",,max_count,"1",,type,"8",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Totals",,max_count,"1",,type,"10",,flags,"2",,,,,,,,,,,
Data,4,file_capabilities,directory,"Goals",,max_count,"1",,type,"11",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Records",,max_count,"1",,type,"29",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Monitor",,max_count,"20",,type,"32",,flags,"10",,,,,,,,,,,
Data,4,file_capabilities,directory,"Adjstmts",,max_count,"5",,type,"39",,flags,"14",,,,,,,,,,,
Definition,5,mesg_capabilities,mesg_num,1,,count,1,,file,1,,count_type,1,,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"3",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"4",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"5",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"6",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"127",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"147",,num_per_file,"20",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"8",,num_per_file,"6",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"53",,num_per_file,"11",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"14",,num_per_file,"15",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"16",,num_per_file,"10",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"74",,num_per_file,"1",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"17",,num_per_file,"3",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"19",,max_per_file_type,"200",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"20",,max_per_file_type,"14000",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"32",,max_per_file_type,"100",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"158",,max_per_file,"5",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"27",,max_per_file,"50",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"28",,max_per_file,"200",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"137",,max_per_file,"5",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"29",,max_per_file,"100",,file,"8",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"30",,num_per_file,"20",,file,"9",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"114",,num_per_file,"10",,file,"29",,count_type,"0",,,,,,,,,,,
Definition,6,field_capabilities,mesg_num,1,,count,1,,file,1,,field_num,1,,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"5",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"7",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"0",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"1",,,,,,,,,,,
Definition,7,unknown,unknown,16,,unknown,16,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,
Data,7,unknown,unknown,"REMOTESW",,unknown,"EPO.BIN",,unknown,"0",,unknown,"1",,unknown,"4",,unknown,"1",,,,,
